title,img_path,label,plot
Sacco and Vanzetti (Sacco e Vanzetti) (1971),ml1m-images\3522.jpg,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","Sacco and Vanzetti is a 1972 Italian film about a young Italian woman named Sacco who is a successful businessman. She is married to a wealthy businessman named Vanzetti, and they have a complicated relationship. Sacco is a successful businessman, but Vanzetti is a poor artist who is struggling to make ends meet. The movie explores themes of love, wealth, and the consequences of greed."
Batman: Mask of the Phantasm (1993),ml1m-images\3213.jpg,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]",Batman: Mask of the Phantasm is a 1993 superhero film about Batman's transformation from a solitary criminal to a powerful and powerful villain. The film follows Batman's journey as he navigates the dangerous world of Gotham City and the complexities of his identity and relationships with his fellow villains.
William Shakespeare's Romeo and Juliet (1996),ml1m-images\1059.jpg,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0]","Romeo and Juliet is a tragedy about two young lovers from feuding families in Verona, Italy, who fall in love and secretly marry. The story follows their tragic love story, as they navigate the complexities of their relationship and the consequences of their actions."
Rollercoaster (1977),ml1m-images\2523.jpg,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","Rollercoaster (1977) is a movie about a group of roller coasters who ride a roller coaster in a rollercoaster. The story follows the rider as they navigate through various obstacles and obstacles, including a dangerous sled race, a dangerous sled race, and a dangerous sled race. The movie explores themes of friendship, perseverance, and the consequences of failure."
"Boondock Saints, The (1999)",ml1m-images\3275.jpg,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]","Boondock Saints is a 1999 movie about a group of sailors who embark on a journey to find a lost treasure in the Pacific Ocean. Along the way, they encounter various obstacles and encounter various characters who help them navigate the treacherous waters."
Pushing Tin (1999),ml1m-images\2598.jpg,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","Pushing Tin is a movie about a young girl named Tin who is a successful businesswoman who is struggling to make ends meet. She is a successful businesswoman who is determined to make a difference in the lives of her family and friends. However, she is also a troublemaker and is forced to confront her own inner demons."
Cujo (1983),ml1m-images\2121.jpg,"[0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Cujo is a Mexican crime drama film about a man named Cujo who is convicted of murdering his wife and her lover. Cujo is a ruthless and dangerous criminal who seeks revenge on his enemies and his family.
Down to You (2000),ml1m-images\3225.jpg,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",Down to You is a movie about a man named Jack who is convicted of murdering his wife and her lover. He is sentenced to life in prison and eventually dies.
Even Dwarfs Started Small (Auch Zwerge haben klein angefangen) (1971),ml1m-images\3202.jpg,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",Even Dwarfs Started Small is a 1971 film about a group of young wizards who are stranded in a small village in the woods. They are rescued by a group of villagers who are trying to find a way to escape and find their way back home.
"Fire Within, The (Le Feu Follet) (1963)",ml1m-images\2933.jpg,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","Fire Within, The (Le Feu Follet) (1963) is a movie about a young woman named Lily who is a successful businesswoman and a successful businesswoman. She is a successful businesswoman who is a successful businesswoman who is struggling to make ends meet. Lily is a successful businesswoman who is struggling to make ends meet and is struggling to make ends meet. She is also struggling to find her footing in the world of business and is struggling to find her footing in the world of business. Lily is a successful businesswoman who is struggling to make ends meet and is struggling to find her footing in the world of business. She is also struggling to find her footing in the world of business and is struggling to find her footing in the world of business."
Swiss Family Robinson (1960),ml1m-images\1017.jpg,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]","Swiss Family Robinson is a movie about a family who moves to a small town in Switzerland in the 1930s. The family is a wealthy family, but their home is destroyed by a fire. The family is forced to move to a new house, which is a different place from their previous home. The family is forced to live in a small town, which is a different place from their previous home. The family faces challenges and obstacles, including a fire that destroys their home and a family that has been living in the same town for many years. The family is forced to live in a small town, which is a different place from their previous home. The family is forced to live in a small town, which is a different place from their previous home. The family is forced to live in a small town, which is a different place from their previous home. The family is forced to live in a small town, which is a different place from their previous home. The family is forced to live in a small town, which is a different place from their previous home. The family is forced to live in a small town, which is a different place from"
Curtis's Charm (1995),ml1m-images\1146.jpg,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",Curtis's Charm is a 1995 movie about a man named Curtis who is a successful businessman who is a successful businessman. He is a successful businessman who is married to a woman named Rose. Curtis is a successful businessman who is a successful businessman. The movie explores the relationship between Curtis and Rose and their relationship.
"House of Yes, The (1997)",ml1m-images\1648.jpg,"[0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","House of Yes is a 1997 American film directed by James Cameron. It tells the story of a young woman named Emily who is diagnosed with cancer and is diagnosed with a rare genetic disorder. She becomes obsessed with finding a cure for her condition and begins to work on her own. As she becomes more comfortable with the idea of living with her condition, Emily begins to question her own beliefs and values. She also discovers that her condition is not a genetic disorder, but rather a genetic mutation that affects her body's ability to produce and carry out its functions. Ultimately, Emily discovers that her condition is not a genetic disorder, but rather a genetic mutation that affects her body's ability to produce and carry out its functions."
Harriet the Spy (1996),ml1m-images\801.jpg,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",Harriet the Spy is a 1996 film about a young woman named Harriet who is a spy and her family. She is a spy who is tasked with stealing a secret from a wealthy businessman. Harriet is a skilled spy who is tasked with stealing money from a wealthy businessman. Harriet is a skilled spy who is tasked with stealing money from a wealthy businessman. Harriet is a skilled spy who is tasked with stealing money from a wealthy businessman. Harriet is a successful businessman who is tasked with stealing money from a wealthy businessman. Harriet is a successful businessman who is tasked with stealing money from a wealthy businessman. Harriet is a successful businessman who is tasked with stealing money from a wealthy businessman. Harriet is a successful businessman who is tasked with stealing money from a wealthy businessman. Harriet is a successful businessman who is tasked with stealing money from a wealthy businessman. Harriet is a
Squanto: A Warrior's Tale (1994),ml1m-images\2101.jpg,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","Squanto is a movie about a young boy named Squanto who is a skilled fighter and a skilled fighter. He is a skilled fighter who is destined to become a hero in the world of fighting. However, he is also a ruthless and dangerous fighter who seeks to use his skills to defeat his enemies and save his people. The movie explores themes of loyalty, sacrifice, and the consequences of one's actions."
"Peacemaker, The (1997)",ml1m-images\1616.jpg,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0]","Peacemaker is a 1997 film about a man named Michael who is diagnosed with cancer and is struggling to cope with his illness. He becomes a therapist and begins to work on his recovery, but ultimately struggles to find a way to cope with his illness."
"Beverly Hillbillies, The (1993)",ml1m-images\419.jpg,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","Beverly Hillbillies is a 1994 American comedy-drama film about a group of friends who fall in love and secretly marry, but their relationship is complicated by their personal struggles and the societal pressures of their time."
"Jungle Book, The (1967)",ml1m-images\2078.jpg,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1]","The Jungle Book is a movie about a young girl named Jungle Book who discovers that her father, a wealthy businessman, is a ruthless mercenary who seeks to take over the kingdom of the jungle. The movie explores themes of greed, greed, and the consequences of greed."
All the Vermeers in New York (1990),ml1m-images\3531.jpg,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0]",All the Vermeers in New York is a movie about a group of friends who are trying to find a way to escape from their abusive past and find a new life in New York City.
Bustin' Loose (1981),ml1m-images\3014.jpg,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","Bustin' Loose is a movie about a man named Bustin who is a successful businessman who is convicted of murdering his wife and her lover. He is sentenced to life in prison for the murder of his wife and her lover. The movie explores themes of love, loyalty, and the consequences of one's actions."
"Terminator, The (1984)",ml1m-images\1240.jpg,"[0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]","Terminator is a sci-fi movie about a man named Terminator who is sent on a mission to stop a group of aliens from destroying the world. He is a skilled fighter pilot and a skilled physicist who is hired by the government to stop the aliens from destroying the world. The movie explores themes of technology, humanity, and the consequences of human actions."
Star Trek: The Wrath of Khan (1982),ml1m-images\1374.jpg,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]","The movie Star Trek: The Wrath of Khan (1982) follows the story of a young astronaut named Khan who is sent to Earth to investigate the death of his father, who is a notorious smuggler. Khan is forced to flee his home country to escape from the smuggler's forces and face the consequences of his actions."
Gilda (1946),ml1m-images\2940.jpg,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","Gilda is a movie about a young woman named Gilda who is a successful businesswoman who is a successful businesswoman. She is married to a wealthy man named Jack, and they have a son named Gilda. Gilda is a successful businesswoman who is a successful businesswoman. However, she is also a troublemaker who is a victim of a gangster who has been stealing her business. The movie explores the themes of love, wealth, and the importance of family."
"Perfect Candidate, A (1996)",ml1m-images\1123.jpg,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","The movie Perfect Candidate, A (1996) is about a young man named Jack who is a successful businessman who is hired to run a successful restaurant in New York City. Jack is hired by a wealthy businessman named Tom to help him navigate the city's financial crisis. Jack is tasked with navigating the city's financial system and navigating the challenges of running a successful restaurant. As Jack navigates the challenges of running a successful restaurant, he must confront his own personal demons and the challenges he faces as he navigates the city's financial crisis."
Meet Wally Sparks (1997),ml1m-images\1439.jpg,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Meet Wally Sparks is a 1997 comedy-drama about a man named Wally who is a successful businessman who is a successful businessman. He is a successful businessman who is a successful businessman and a successful businessman. The movie follows Wally's journey as he navigates the challenges of his life and the challenges he faces in his life.
Stuart Saves His Family (1995),ml1m-images\312.jpg,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Stuart Saves His Family is a 1995 film about a man named Stuart who is convicted of murdering his wife and her lover. He is sentenced to life in prison for the murder. Stuart's family is left to mourn his loss and his family's loss.
Topsy-Turvy (1999),ml1m-images\3163.jpg,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","Topsy-Turvy is a 1999 comedy-drama film about a young woman named Topsy who is a successful businesswoman. She is a successful businesswoman who is a successful businesswoman who is a successful businesswoman. Topsy is a successful businesswoman who is a successful businesswoman who is a successful businesswoman. The movie follows her as she navigates the challenges of her career and her personal life, including her relationship with her husband and her relationship with her boyfriend."
Mad Max (1979),ml1m-images\3702.jpg,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]","Mad Max is a high school chemistry teacher who is diagnosed with cancer and is forced to work as a factory worker. He becomes obsessed with a new hobby, a hobby he has been working on for years, and eventually becomes a successful businessman. He becomes obsessed with his own personal life and becomes obsessed with his own dreams and dreams."
"Little Mermaid, The (1989)",ml1m-images\2081.jpg,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1]",Little Mermaid is a movie about a young girl named Lily who is rescued by a mermaid named Prince Prince who is a sailor. The story follows Lily's journey as she navigates the waters of the ocean and discovers that Prince is a mermaid and that she is a sailor.
How I Won the War (1967),ml1m-images\3049.jpg,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",The movie How I Won the War (1967) tells the story of a soldier who is drafted into the Army and is assigned to defend his country against a group of enemy soldiers. The soldier is a skilled soldier who is tasked with defending his country against the enemy. The soldier is a skilled soldier who is tasked with defending his country against the enemy. The soldier is a skilled soldier who is tasked with defending his country against the enemy. The soldier is a skilled soldier who is tasked with defending his country against the enemy. The soldier is a skilled soldier who is tasked with defending his country against the enemy. The soldier is a skilled soldier who is tasked with defending his country against the enemy. The soldier is a skilled soldier who is tasked with defending his country against the enemy. The soldier is a skilled soldier who is tasked with defending his country against the enemy. The soldier is a skilled soldier who is tasked with defending his country against the enemy. The soldier is a skilled soldier who is tasked with defending his country against the enemy. The soldier is 
Whatever Happened to Aunt Alice? (1969),ml1m-images\3850.jpg,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","""Whatever Happened to Aunt Alice"" is a 1969 film about a woman named Alice who is a successful businesswoman who is tasked with avenging her husband's murder. The film follows her journey as she navigates the complexities of her life and the challenges she faces in her pursuit of her dreams."
101 Dalmatians (1996),ml1m-images\1367.jpg,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",The movie 101 Dalmatians is a science fiction adventure film about a group of scientists who discover a new planet in the solar system and must navigate through a series of challenges and obstacles to survive.
"Big Sleep, The (1946)",ml1m-images\1284.jpg,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0]","Big Sleep is a 1946 movie about a man named Jack who wakes up in a dream and wakes up to find himself in a dream world. He is a renowned physicist who is tasked with repairing the world's most famous landmark, the Big Sleep. Jack is a skilled physicist who is hired to create a new world for himself and his team. The movie explores themes of sleep, memory, and the human condition."
Young Guns (1988),ml1m-images\1378.jpg,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0]","Young Guns is a movie about a young man named Jack who is a successful businessman and a successful businessman. He is hired by a wealthy businessman to help him with his business ventures. Jack is hired by a wealthy businessman to help him with his business ventures. The movie explores themes of wealth, power, and the consequences of greed."
Deep Impact (1998),ml1m-images\1876.jpg,"[0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0]","Deep Impact is a movie about a group of scientists who discover a new species of alien life on Earth. They discover that the aliens are not living things, but rather a group of aliens who are trying to control the planet's environment. The movie explores themes of alien life, alien technology, and the consequences of human actions."
"Navigator: A Mediaeval Odyssey, The (1988)",ml1m-images\2173.jpg,"[0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","Navigator: A Mediaeval Odyssey is a movie about a young boy named Navigator who embarks on a journey to explore the ancient world and discover the true meaning of life. Along the way, he encounters various characters and events that shape his life and the world around him."
Mr. Jealousy (1997),ml1m-images\1906.jpg,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","Mr. Jealousy is a 1997 comedy-drama film about a man named Mr. Jealousy who is a ruthless businessman who is tasked with stealing a million dollars from a wealthy businessman. The film follows his journey as he tries to win back his lost fortune, but ultimately falls in love with a woman named Rose."
"Addiction, The (1995)",ml1m-images\152.jpg,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","Addiction is a movie about a man named Jack who is struggling with addiction and his desire to quit his job. He becomes addicted to drugs and becomes addicted to alcohol. Jack's addiction leads him to seek help from a mental health professional and eventually, he is able to quit his job."
"CallejÃ³n de los milagros, El (1995)",ml1m-images\1795.jpg,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","Callej3n de los milagros, El (1995) is a Mexican crime drama film about a young man named Santiago who is convicted of murdering his wife and her lover. He is sentenced to life in prison and faces numerous challenges throughout his life."
Roustabout (1964),ml1m-images\3610.jpg,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",The movie Roustabout (1964) is a crime drama film about a man named Jack who is convicted of murdering his wife and her lover. He is sentenced to life in prison and is eventually released.
"NeverEnding Story II: The Next Chapter, The (1990)",ml1m-images\2162.jpg,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]","The story of NeverEnding Story II: The Next Chapter, The (1990) follows the story of a young boy named Jack who is a successful businessman who is tasked with repairing a broken-down building in Los Angeles. Jack is hired by a wealthy businessman to help him rebuild his life and start a new life. Along the way, Jack faces various challenges and obstacles, including a series of traumatic events that ultimately lead to his downfall."
Airport '77 (1977),ml1m-images\2522.jpg,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","Airport '77 (1977) is a movie about a man named Jack who is stranded at the airport and is stranded on the island of Kauai. He is rescued by a group of stranded travelers who are trying to find him. Jack is rescued by a group of stranded travelers who are trying to find him. The movie explores the themes of friendship, loss, and the consequences of a single act of kindness."
Supernova (2000),ml1m-images\3190.jpg,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","Supernova is a science fiction movie about a young woman named Luna who discovers a new planet in the solar system and discovers that it is not a planet, but rather a massive black hole. She must navigate through the dark and dangerous world of space and find a way to stop the black hole before it's too late."
"Funeral, The (1996)",ml1m-images\1114.jpg,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","Funeral is a movie about a man named Michael who is killed in a car accident. He is rushed to the hospital and is rushed to the hospital. He is rushed to the hospital and is rushed to the hospital. The movie explores themes of grief, loss, and the loss of a loved one."
Purple Noon (1960),ml1m-images\659.jpg,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Purple Noon is a movie about a young woman named Rose who is diagnosed with cancer and is diagnosed with a rare genetic disorder. She is diagnosed with a rare genetic disorder and is unable to perform the task of a doctor. Rose is hesitant to accept the diagnosis and decides to take a break from her medical work to pursue her dreams. She works at a hospital and eventually finds a job as a nurse. Rose is hesitant to accept the job and decides to take a break from her work. She also learns that her condition is not a genetic disorder and that she needs to find a cure for her condition.
Wisdom (1986),ml1m-images\2260.jpg,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]","The movie Wisdom (1986) is about a young woman named Lily who is a successful businesswoman who is struggling to make ends meet. She is a successful businesswoman who is struggling to make ends meet and is struggling to find her footing in the world. Lily's journey is a journey of self-discovery and self-discovery, as she navigates the challenges of pursuing her dreams and finding her place in the world."
Jude (1996),ml1m-images\1056.jpg,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",Jude is a movie about a man named Jude who is a successful businessman who is convicted of murdering his wife and her lover. He is sentenced to life in prison for his crimes and is eventually released.
Sid and Nancy (1986),ml1m-images\2348.jpg,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","Sid and Nancy is a movie about a young couple named Sid and Nancy who are a successful businessman and a successful businessman. They are married and have two children, but their relationship is complicated by their financial struggles and their relationship with each other."
Shadow Conspiracy (1997),ml1m-images\1055.jpg,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","Shadow Conspiracy is a 1997 horror film about a group of teenagers who are tasked with stealing a secret weapon from a government facility. The group is led by a former employee named Jack, who is tasked with stealing the weapon and causing chaos in the city. The movie explores themes of identity, memory, and the consequences of a seemingly insurmountable threat."
"Silence of the Lambs, The (1991)",ml1m-images\593.jpg,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",Silence of the Lambs is a movie about a man named Michael Corleone who is convicted of murder and sentenced to life in prison. He is a ruthless and dangerous criminal who seeks to sabotage the government and his family.
Venice/Venice (1992),ml1m-images\895.jpg,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","Venice/Venice is a movie about a group of friends who fall in love in Venice, Italy. However, their relationship is complicated by their personal struggles and their relationship with each other. The movie explores themes of love, loss, and the consequences of one's actions."
Evita (1996),ml1m-images\1416.jpg,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0]","Evita is a movie about a young woman named Evita who is a successful businesswoman who is forced to leave her home in order to pursue her dreams. Evita is a complex and emotional story that explores themes of love, loss, and the consequences of one's actions."
